County,New_Positives,All_Positives,New_Tests,All_Tests
Albany,208,8613,3191,301789
Allegany,17,1468,240,45868
Bronx,675,73685,14431,1491456
Broome,72,6764,2080,254122
Cattaraugus,37,1905,704,70858
Cayuga,101,1798,1071,82512
Chautauqua,38,2496,1290,120504
Chemung,70,3918,1417,109973
Chenango,11,928,352,51285
Clinton,7,738,943,71654
Columbia,30,1288,671,62118
Cortland,52,1613,469,68626
Delaware,4,538,152,41406
Dutchess,158,9800,2717,330352
Erie,576,34757,10154,910987
Essex,12,414,188,34243
Franklin,17,502,256,42860
Fulton,27,948,400,45127
Genesee,46,1767,408,60433
Greene,8,922,341,38163
Hamilton,2,75,39,4874
Herkimer,35,1314,520,69318
Jefferson,40,1161,848,69006
Kings,1037,105006,23680,2738218
Lewis,14,617,192,21659
Livingston,64,1270,1075,65527
Madison,40,1724,723,72082
Monroe,697,25643,7126,840313
Montgomery,11,868,249,48956
Nassau,853,73757,13642,1688540
New York,554,54426,20807,2337239
Niagara,126,6384,1974,196231
Oneida,327,8695,3495,344238
Onondaga,375,16429,6311,589526
Ontario,80,2283,1015,105873
Orange,210,20324,2732,343058
Orleans,27,950,216,30545
Oswego,51,2598,816,106990
Otsego,17,958,496,56391
Putnam,56,3975,862,97607
Queens,1024,106764,20800,2384631
Rensselaer,115,2904,1396,174168
Richmond,337,29504,6782,627529
Rockland,232,24787,3446,388679
Saratoga,93,3809,1838,212679
Schenectady,139,4153,2261,174100
Schoharie,14,392,498,23927
Schuyler,6,406,163,20597
Seneca,23,532,227,29718
St. Lawrence,55,1464,1545,134345
Steuben,55,2586,1113,93651
Suffolk,1169,78850,17296,1726868
Sullivan,41,2551,580,56601
Tioga,14,1421,468,48489
Tompkins,34,1671,3178,807576
Ulster,67,4614,1216,183936
Warren,29,804,493,59072
Washington,13,619,367,51622
Wayne,58,1848,760,86857
Westchester,571,61111,9593,1277979
Wyoming,35,974,355,37879
Yates,8,386,104,18616
