County,New Positives,All Positives,New Tests,All Tests,Positive,co-ordinates,latitude,longitude,geometry
"Albany, NY",163,7555,3138,287221,5.19439133205864,"(42.65172576904297, -73.75509643554688)",42.5882401,-73.9740095,POINT (-73.75509643554688 42.65172576904297)
"Allegany, NY",44,1350,342,44322,12.8654970760234,"(42.08806228637695, -78.49125671386719)",42.2478532,-78.0261531,POINT (-78.49125671386719 42.08806228637695)
"Bronx, NY",545,70085,13299,1413577,4.09805248514926,"(40.82615280151367, -73.9202651977539)",40.8487111,-73.852939,POINT (-73.92026519775391 40.82615280151367)
"Broome, NY",68,6306,2076,243869,3.27552986512524,"(42.52092361450195, -74.30384826660156)",42.1619773,-75.8302833,POINT (-74.30384826660156 42.52092361450195)
"Cattaraugus, NY",90,1684,854,67431,10.5386416861827,"(42.32959747314453, -78.86852264404297)",42.2390986,-78.662332,POINT (-78.86852264404297 42.32959747314453)
"Cayuga, NY",97,1421,1226,77774,7.91190864600326,"(42.91896057128906, -76.72624969482422)",43.0085456,-76.5745866,POINT (-76.72624969482422 42.91896057128906)
"Chautauqua, NY",121,2220,846,116271,14.3026004728132,"(42.209285736083984, -79.46292877197266)",42.3042159,-79.4075949,POINT (-79.46292877197266 42.20928573608398)
"Chemung, NY",56,3651,1537,104484,3.64346128822381,"(42.008331298828125, -76.62359619140625)",42.1552804,-76.7471791,POINT (-76.62359619140625 42.00833129882812)
"Chenango, NY",34,815,339,49176,10.0294985250737,"(42.1686897277832, -75.87785339355469)",42.4780238,-75.6022407,POINT (-75.87785339355469 42.1686897277832)
"Clinton, NY",11,597,607,67431,1.81219110378913,"(43.04859924316406, -75.37799072265625)",44.752712,-73.7056429,POINT (-75.37799072265625 43.04859924316406)
"Columbia, NY",18,1175,425,59409,4.23529411764706,"(42.928749084472656, -75.03850555419922)",42.2477288,-73.6268057,POINT (-75.03850555419922 42.92874908447266)
"Cortland, NY",40,1375,689,65769,5.8055152394775,"(42.60121154785156, -76.18048095703125)",42.594039,-76.0762398,POINT (-76.18048095703125 42.60121154785156)
"Delaware, NY",11,488,215,39954,5.11627906976744,"(41.76803207397461, -75.05734252929688)",42.1939865,-74.9667281,POINT (-75.05734252929688 41.76803207397461)
"Dutchess, NY",165,8794,2770,314384,5.95667870036101,"(41.69932174682617, -73.92169189453125)",41.7547699,-73.7400411,POINT (-73.92169189453125 41.69932174682617)
"Erie, NY",733,32015,9738,862861,7.52721298007805,"(42.887691497802734, -78.8793716430664)",42.752759,-78.7781922,POINT (-78.87937164306641 42.88769149780273)
"Essex, NY",7,355,264,32367,2.65151515151515,"(44.310630798339844, -73.35187530517578)",44.1096005,-73.7784307,POINT (-73.35187530517578 44.31063079833984)
"Franklin, NY",23,421,400,40990,5.75,"(44.451026916503906, -74.06611633300781)",44.5943758,-74.31067,POINT (-74.06611633300781 44.45102691650391)
"Fulton, NY",31,773,326,42847,9.50920245398773,"(43.318336486816406, -76.41239929199219)",43.1156093,-74.4236782,POINT (-76.41239929199219 43.31833648681641)
"Genesee, NY",35,1487,344,57356,10.1744186046512,"(42.02693176269531, -78.20589447021484)",43.0009096,-78.1927784,POINT (-78.20589447021484 42.02693176269531)
"Greene, NY",11,843,263,36397,4.18250950570342,"(42.33123779296875, -75.77061462402344)",42.2798211,-74.1420253,POINT (-75.77061462402344 42.33123779296875)
"Hamilton, NY",3,68,92,4704,3.26086956521739,"(42.8268928527832, -75.5442886352539)",43.6578786,-74.5024556,POINT (-75.54428863525391 42.8268928527832)
"Herkimer, NY",42,1062,593,66007,7.08263069139966,"(43.02599334716797, -74.98440551757812)",43.407489,-75.011683,POINT (-74.98440551757812 43.02599334716797)
"Jefferson, NY",44,922,983,65124,4.47609359104781,"(42.481388092041016, -74.61016845703125)",43.996389,-76.0529678,POINT (-74.61016845703125 42.48138809204102)
"Kings, NY",869,98914,22770,2596141,3.81642512077295,"(43.151405334472656, -73.85445404052734)",40.6350451,-73.9506398,POINT (-73.85445404052734 43.15140533447266)
"Lewis, NY",19,540,259,20597,7.33590733590734,"(43.459354400634766, -75.46373748779297)",43.7826811,-75.4441402,POINT (-75.46373748779297 43.45935440063477)
"Livingston, NY",32,1049,1005,62203,3.18407960199005,"(42.143680572509766, -73.77977752685547)",42.7274845,-77.7697795,POINT (-73.77977752685547 42.14368057250977)
"Madison, NY",82,1463,581,68647,14.1135972461274,"(42.899078369140625, -75.51226806640625)",42.9100255,-75.6635749,POINT (-75.51226806640625 42.89907836914062)
"Monroe, NY",566,21833,7249,798058,7.80797351358808,"(41.31987380981445, -74.17798614501953)",43.4644839,-77.6646584,POINT (-74.17798614501953 41.31987380981445)
"Montgomery, NY",34,717,586,46614,5.80204778156997,"(41.52753448486328, -74.23697662353516)",42.9008912,-74.4353575,POINT (-74.23697662353516 41.52753448486328)
"Nassau, NY",759,68737,16097,1595630,4.71516431633224,"(42.51344299316406, -73.61092376708984)",40.7296118,-73.5894144,POINT (-73.61092376708984 42.51344299316406)
"New York, NY",560,50979,22758,2215332,2.46067316987433,"(40.71304702758789, -74.00723266601562)",40.7766419,-73.9701871,POINT (-74.00723266601562 40.71304702758789)
"Niagara, NY",159,5537,2217,186110,7.17185385656292,"(43.120338439941406, -78.99750518798828)",43.4567309,-78.7921425,POINT (-78.99750518798828 43.12033843994141)
"Oneida, NY",265,7331,3249,329047,8.15635580178516,"(43.09389877319336, -75.65122985839844)",43.2427273,-75.4342824,POINT (-75.65122985839844 43.09389877319336)
